helics_simulation_time,powerRequired
1407.0,-541.0245937322549
1408.0,-540.8220169087306
1409.0,-540.6245643013732
1410.0,-540.4418489747986
1411.0,-540.2822012479621
1412.0,-540.1401821017465
1413.0,-540.0171393065053
1414.0,-539.9049278259655
1415.0,-539.7973480445147
1416.0,-539.6982406420316
1417.0,-539.6063278102832
1418.0,-539.5309691319826
1419.0,-539.4784072260925
1420.0,-539.4448936610922
1421.0,-539.4319717032242
1422.0,-539.4260570491366
1423.0,-539.419242322215
1424.0,-539.416154438314
1425.0,-539.4144851655693
1426.0,-539.421069752291
1427.0,-539.4386082685896
1428.0,-539.4631724663111
1429.0,-539.4946915504985
1430.0,-539.5320687889428
1431.0,-539.5747455193612
1432.0,-539.6228069890802
1433.0,-539.675940854098
1434.0,-539.7318887773251
1435.0,-539.789545115521
1436.0,-539.8488475061066
1437.0,-539.9090423300644
1438.0,-539.9727240179881
1439.0,-540.0402897951684
1440.0,-540.1106306898853
1441.0,-540.1475442912376
1442.0,-540.1839029505539
1443.0,-540.2195999486975
1444.0,-540.254209674982
1445.0,-540.2874545496578
1446.0,-540.3191680584981
1447.0,-540.3487725525159
1448.0,-540.3763423618542
1449.0,-540.4011355525886
1450.0,-540.4233901933156
1451.0,-540.4423030116031
1452.0,-540.4581916317636
1453.0,-540.4704319393419
1454.0,-540.4790321775438
1455.0,-540.4838165127577
1456.0,-540.484506456897
1457.0,-540.4809562378551
1458.0,-540.4730371834283
1459.0,-540.4606297308875
1460.0,-540.4435512479172
1461.0,-540.4219670364456
1462.0,-540.3956872741846
1463.0,-540.3645597122442
1464.0,-540.3284630290802
1465.0,-540.2875294614144
1466.0,-540.2419497034191
1467.0,-540.1914649310218
1468.0,-540.1360266709769
1469.0,-540.075608058426
1470.0,-540.0107696307929
1471.0,-539.9412237842888
1472.0,-539.866993734533
1473.0,-539.788102697145
1474.0,-539.704865756399
1475.0,-539.6174305763135
1476.0,-539.5257558650217
1477.0,-539.429923030095
1478.0,-539.3300787361223
1479.0,-539.2266063390058
1480.0,-539.1194646818318
1481.0,-539.0087786220992
1482.0,-538.8946730173074
1483.0,-538.7774654035456
1484.0,-538.6572729540878
1485.0,-538.5342143868697
1486.0,-538.4084433366487
1487.0,-538.2801592567139
1488.0,-538.149599266984
1489.0,-538.0168814231866
1490.0,-537.8821755198413
1491.0,-537.7456513514671
1492.0,-537.6075152991395
1493.0,-537.467924525231
1494.0,-537.3270522699413
1495.0,-537.1850726193717
1496.0,-537.0421361349939
1497.0,-536.8983997720517
1498.0,-536.7540456652335
1499.0,-536.6092424382522
1500.0,-536.4641454912717
1501.0,-536.3188160665864
1502.0,-536.1734656785878
1503.0,-536.0282489587103
1504.0,-535.8833205383887
1505.0,-535.7387163584244
1506.0,-535.5945740237488
1507.0,-535.4510608194513
1508.0,-535.3083113301976
1509.0,-535.1664056270848
1510.0,-535.0253308468909
1511.0,-534.8852828647151
1512.0,-534.7463716876575
1513.0,-534.6087073228192
1514.0,-534.4721948047037
1515.0,-534.3369896030568
1516.0,-534.2031929226117
1517.0,-534.070888089333
1518.0,-533.9400589593695
1519.0,-533.8106769094568
1520.0,-533.6828750536026
1521.0,-533.5567092902578
1522.0,-533.4322246457258
1523.0,-533.3092580845143
1524.0,-533.1879517223301
1525.0,-533.0683352445623
1526.0,-532.9504383365996
1527.0,-532.8341659870579
1528.0,-532.7195018251466
1529.0,-532.6065002297782
1530.0,-532.4951667940405
1531.0,-532.3854734199177
1532.0,-532.277285343492
1533.0,-532.1706653530923
1534.0,-532.0655983497345
1535.0,-531.9620692344348
1536.0,-531.8599465977946
1537.0,-531.7592241508515
1538.0,-531.6598887918735
1539.0,-531.5619084925206
1540.0,-531.4652137475947
1541.0,-531.3697098482639
1542.0,-531.2753916523624
1543.0,-531.1822145348558
1544.0,-531.0901338707106
1545.0,-530.9990318260872
1546.0,-530.9088908603054
1547.0,-530.8196586995809
1548.0,-530.7312823186987
